"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Italy (IT)","Actual Total Load [MW] - Italy (IT)"
"19.01.2022 01:00 - 19.01.2022 02:00","27104","27361"
"19.01.2022 02:00 - 19.01.2022 03:00","26125","26610"
"19.01.2022 03:00 - 19.01.2022 04:00","25975","26363"
"19.01.2022 04:00 - 19.01.2022 05:00","26152","26791"
"19.01.2022 05:00 - 19.01.2022 06:00","28237","28833"
"19.01.2022 06:00 - 19.01.2022 07:00","34017","34433"
"19.01.2022 07:00 - 19.01.2022 08:00","40818","41066"
"19.01.2022 08:00 - 19.01.2022 09:00","45335","45618"
"19.01.2022 09:00 - 19.01.2022 10:00","46231","46681"
"19.01.2022 10:00 - 19.01.2022 11:00","45418","45740"
"19.01.2022 11:00 - 19.01.2022 12:00","45033","44642"
"19.01.2022 12:00 - 19.01.2022 13:00","43437","41826"
"19.01.2022 13:00 - 19.01.2022 14:00","42430","41364"
"19.01.2022 14:00 - 19.01.2022 15:00","43098","42450"
"19.01.2022 15:00 - 19.01.2022 16:00","44239","42816"
"19.01.2022 16:00 - 19.01.2022 17:00","44713","44144"
"19.01.2022 17:00 - 19.01.2022 18:00","45092","46460"
"19.01.2022 18:00 - 19.01.2022 19:00","45766","46382"
"19.01.2022 19:00 - 19.01.2022 20:00","45369","45104"
"19.01.2022 20:00 - 19.01.2022 21:00","42351","42167"
"19.01.2022 21:00 - 19.01.2022 22:00","39370","38799"
"19.01.2022 22:00 - 19.01.2022 23:00","35560","35085"
"19.01.2022 23:00 - 20.01.2022 00:00","31929","31512"
"20.01.2022 00:00 - 20.01.2022 01:00","29145","29055"
"20.01.2022 01:00 - 20.01.2022 02:00","27618","27267"
"20.01.2022 02:00 - 20.01.2022 03:00","26697","26422"
"20.01.2022 03:00 - 20.01.2022 04:00","26498","26138"
"20.01.2022 04:00 - 20.01.2022 05:00","26690","26492"
"20.01.2022 05:00 - 20.01.2022 06:00","28984","28505"
"20.01.2022 06:00 - 20.01.2022 07:00","34352","34123"
"20.01.2022 07:00 - 20.01.2022 08:00","41405","40602"
"20.01.2022 08:00 - 20.01.2022 09:00","45250","45320"
"20.01.2022 09:00 - 20.01.2022 10:00","46922","46643"
"20.01.2022 10:00 - 20.01.2022 11:00","46199","46491"
"20.01.2022 11:00 - 20.01.2022 12:00","44614","45921"
"20.01.2022 12:00 - 20.01.2022 13:00","42268","43300"
"20.01.2022 13:00 - 20.01.2022 14:00","41435","42820"
"20.01.2022 14:00 - 20.01.2022 15:00","43012","44166"
"20.01.2022 15:00 - 20.01.2022 16:00","44372","44574"
"20.01.2022 16:00 - 20.01.2022 17:00","44823","44600"
"20.01.2022 17:00 - 20.01.2022 18:00","45380","45920"
"20.01.2022 18:00 - 20.01.2022 19:00","46479","46108"
"20.01.2022 19:00 - 20.01.2022 20:00","46069","45473"
"20.01.2022 20:00 - 20.01.2022 21:00","42541","42877"
"20.01.2022 21:00 - 20.01.2022 22:00","39222","39145"
"20.01.2022 22:00 - 20.01.2022 23:00","35208","35101"
"20.01.2022 23:00 - 21.01.2022 00:00","31372","31611"
"21.01.2022 00:00 - 21.01.2022 01:00","29514","28992"
"21.01.2022 01:00 - 21.01.2022 02:00","27668","27437"
"21.01.2022 02:00 - 21.01.2022 03:00","26859","26741"
"21.01.2022 03:00 - 21.01.2022 04:00","26481","26532"
"21.01.2022 04:00 - 21.01.2022 05:00","26716","26954"
"21.01.2022 05:00 - 21.01.2022 06:00","28442","28758"
"21.01.2022 06:00 - 21.01.2022 07:00","33523","34235"
"21.01.2022 07:00 - 21.01.2022 08:00","39730","40665"
"21.01.2022 08:00 - 21.01.2022 09:00","44858","45342"
"21.01.2022 09:00 - 21.01.2022 10:00","46538","47124"
"21.01.2022 10:00 - 21.01.2022 11:00","46291","46707"
"21.01.2022 11:00 - 21.01.2022 12:00","46059","46428"
"21.01.2022 12:00 - 21.01.2022 13:00","44159","43907"
"21.01.2022 13:00 - 21.01.2022 14:00","43143","43050"
"21.01.2022 14:00 - 21.01.2022 15:00","44483","44093"
"21.01.2022 15:00 - 21.01.2022 16:00","44885","43839"
"21.01.2022 16:00 - 21.01.2022 17:00","44998","43867"
"21.01.2022 17:00 - 21.01.2022 18:00","46231","45655"
"21.01.2022 18:00 - 21.01.2022 19:00","46564","45849"
"21.01.2022 19:00 - 21.01.2022 20:00","45524","44877"
"21.01.2022 20:00 - 21.01.2022 21:00","42656","42094"
"21.01.2022 21:00 - 21.01.2022 22:00","39199","38768"
"21.01.2022 22:00 - 21.01.2022 23:00","35655","35054"
"21.01.2022 23:00 - 22.01.2022 00:00","32085","31821"
"22.01.2022 00:00 - 22.01.2022 01:00","29241","29165"
"22.01.2022 01:00 - 22.01.2022 02:00","27225","27445"
"22.01.2022 02:00 - 22.01.2022 03:00","26343","26408"
"22.01.2022 03:00 - 22.01.2022 04:00","25817","26025"
"22.01.2022 04:00 - 22.01.2022 05:00","25707","25843"
"22.01.2022 05:00 - 22.01.2022 06:00","26214","26594"
"22.01.2022 06:00 - 22.01.2022 07:00","28402","29359"
"22.01.2022 07:00 - 22.01.2022 08:00","31446","32824"
"22.01.2022 08:00 - 22.01.2022 09:00","34641","35823"
"22.01.2022 09:00 - 22.01.2022 10:00","36593","37709"
"22.01.2022 10:00 - 22.01.2022 11:00","36349","37401"
"22.01.2022 11:00 - 22.01.2022 12:00","35403","36103"
"22.01.2022 12:00 - 22.01.2022 13:00","34193","34330"
"22.01.2022 13:00 - 22.01.2022 14:00","32561","32913"
"22.01.2022 14:00 - 22.01.2022 15:00","31919","32647"
"22.01.2022 15:00 - 22.01.2022 16:00","31423","32445"
"22.01.2022 16:00 - 22.01.2022 17:00","32518","33067"
"22.01.2022 17:00 - 22.01.2022 18:00","36183","36257"
"22.01.2022 18:00 - 22.01.2022 19:00","37621","38333"
"22.01.2022 19:00 - 22.01.2022 20:00","38140","38512"
"22.01.2022 20:00 - 22.01.2022 21:00","35901","36342"
"22.01.2022 21:00 - 22.01.2022 22:00","32982","33474"
"22.01.2022 22:00 - 22.01.2022 23:00","30389","30705"
"22.01.2022 23:00 - 23.01.2022 00:00","27698","28340"
"23.01.2022 00:00 - 23.01.2022 01:00","26286","26157"
"23.01.2022 01:00 - 23.01.2022 02:00","24645","24524"
"23.01.2022 02:00 - 23.01.2022 03:00","23273","23208"
"23.01.2022 03:00 - 23.01.2022 04:00","22815","22663"
"23.01.2022 04:00 - 23.01.2022 05:00","22601","22576"
"23.01.2022 05:00 - 23.01.2022 06:00","23012","23122"
"23.01.2022 06:00 - 23.01.2022 07:00","24407","24512"
"23.01.2022 07:00 - 23.01.2022 08:00","25743","25837"
"23.01.2022 08:00 - 23.01.2022 09:00","27683","28004"
"23.01.2022 09:00 - 23.01.2022 10:00","30076","30176"
"23.01.2022 10:00 - 23.01.2022 11:00","30766","31083"
"23.01.2022 11:00 - 23.01.2022 12:00","31429","31127"
"23.01.2022 12:00 - 23.01.2022 13:00","31376","30653"
"23.01.2022 13:00 - 23.01.2022 14:00","29989","28262"
"23.01.2022 14:00 - 23.01.2022 15:00","28801","28007"
"23.01.2022 15:00 - 23.01.2022 16:00","28747","28562"
"23.01.2022 16:00 - 23.01.2022 17:00","28945","29556"
"23.01.2022 17:00 - 23.01.2022 18:00","31825","32759"
"23.01.2022 18:00 - 23.01.2022 19:00","34530","35328"
"23.01.2022 19:00 - 23.01.2022 20:00","35199","36208"
"23.01.2022 20:00 - 23.01.2022 21:00","34524","34796"
"23.01.2022 21:00 - 23.01.2022 22:00","32796","32538"
"23.01.2022 22:00 - 23.01.2022 23:00","30299","29902"
"23.01.2022 23:00 - 24.01.2022 00:00","27584","27203"
"24.01.2022 00:00 - 24.01.2022 01:00","24442","24629"
"24.01.2022 01:00 - 24.01.2022 02:00","23037","23219"
"24.01.2022 02:00 - 24.01.2022 03:00","22329","22650"
"24.01.2022 03:00 - 24.01.2022 04:00","22288","22477"
"24.01.2022 04:00 - 24.01.2022 05:00","23223","23256"
"24.01.2022 05:00 - 24.01.2022 06:00","25260","25836"
"24.01.2022 06:00 - 24.01.2022 07:00","31233","32487"
"24.01.2022 07:00 - 24.01.2022 08:00","37703","39348"
"24.01.2022 08:00 - 24.01.2022 09:00","43275","44680"
"24.01.2022 09:00 - 24.01.2022 10:00","45569","46806"
"24.01.2022 10:00 - 24.01.2022 11:00","45378","46257"
"24.01.2022 11:00 - 24.01.2022 12:00","45085","45349"
"24.01.2022 12:00 - 24.01.2022 13:00","43543","43015"
"24.01.2022 13:00 - 24.01.2022 14:00","42308","43675"
"24.01.2022 14:00 - 24.01.2022 15:00","43304","44668"
"24.01.2022 15:00 - 24.01.2022 16:00","43946","45100"
"24.01.2022 16:00 - 24.01.2022 17:00","43913","45374"
"24.01.2022 17:00 - 24.01.2022 18:00","45636","46507"
"24.01.2022 18:00 - 24.01.2022 19:00","46409","46363"
"24.01.2022 19:00 - 24.01.2022 20:00","45182","45423"
"24.01.2022 20:00 - 24.01.2022 21:00","42885","42422"
"24.01.2022 21:00 - 24.01.2022 22:00","39808","39434"
"24.01.2022 22:00 - 24.01.2022 23:00","35836","35083"
"24.01.2022 23:00 - 25.01.2022 00:00","32176","31770"
"25.01.2022 00:00 - 25.01.2022 01:00","29277","29109"
"25.01.2022 01:00 - 25.01.2022 02:00","27486","27272"
"25.01.2022 02:00 - 25.01.2022 03:00","26624","26494"
"25.01.2022 03:00 - 25.01.2022 04:00","26337","26242"
"25.01.2022 04:00 - 25.01.2022 05:00","26750","26621"
"25.01.2022 05:00 - 25.01.2022 06:00","28643","28503"
"25.01.2022 06:00 - 25.01.2022 07:00","33771","34532"
"25.01.2022 07:00 - 25.01.2022 08:00","40468","41160"
"25.01.2022 08:00 - 25.01.2022 09:00","45941","46213"
"25.01.2022 09:00 - 25.01.2022 10:00","48189","47941"
"25.01.2022 10:00 - 25.01.2022 11:00","47677","47569"
"25.01.2022 11:00 - 25.01.2022 12:00","46274","46730"
"25.01.2022 12:00 - 25.01.2022 13:00","43839","44117"
"25.01.2022 13:00 - 25.01.2022 14:00","41110","43667"
"25.01.2022 14:00 - 25.01.2022 15:00","42065","44966"
"25.01.2022 15:00 - 25.01.2022 16:00","43516","45396"
"25.01.2022 16:00 - 25.01.2022 17:00","44574","45525"
"25.01.2022 17:00 - 25.01.2022 18:00","45797","46826"
"25.01.2022 18:00 - 25.01.2022 19:00","47446","47232"
"25.01.2022 19:00 - 25.01.2022 20:00","46805","46069"
"25.01.2022 20:00 - 25.01.2022 21:00","44144","43147"
"25.01.2022 21:00 - 25.01.2022 22:00","40876","39873"
"25.01.2022 22:00 - 25.01.2022 23:00","36923","35640"
"25.01.2022 23:00 - 26.01.2022 00:00","33099","31958"
"26.01.2022 00:00 - 26.01.2022 01:00","29642","29305"
"26.01.2022 01:00 - 26.01.2022 02:00","27958","27549"
"26.01.2022 02:00 - 26.01.2022 03:00","27149","26833"
"26.01.2022 03:00 - 26.01.2022 04:00","26856","26723"
"26.01.2022 04:00 - 26.01.2022 05:00","27141","26898"
"26.01.2022 05:00 - 26.01.2022 06:00","28740","28987"
"26.01.2022 06:00 - 26.01.2022 07:00","34144","35068"
"26.01.2022 07:00 - 26.01.2022 08:00","40770","41552"
"26.01.2022 08:00 - 26.01.2022 09:00","45753","46033"
"26.01.2022 09:00 - 26.01.2022 10:00","47645","47581"
"26.01.2022 10:00 - 26.01.2022 11:00","47603","47021"
"26.01.2022 11:00 - 26.01.2022 12:00","46719","46295"
"26.01.2022 12:00 - 26.01.2022 13:00","44278","43842"
"26.01.2022 13:00 - 26.01.2022 14:00","43454","43310"
"26.01.2022 14:00 - 26.01.2022 15:00","44537","44385"
"26.01.2022 15:00 - 26.01.2022 16:00","45467","44986"
"26.01.2022 16:00 - 26.01.2022 17:00","45700","45631"
"26.01.2022 17:00 - 26.01.2022 18:00","46627","46997"
"26.01.2022 18:00 - 26.01.2022 19:00","47205","47247"
"26.01.2022 19:00 - 26.01.2022 20:00","46158","46209"
"26.01.2022 20:00 - 26.01.2022 21:00","43436","43469"
"26.01.2022 21:00 - 26.01.2022 22:00","40346","40081"
"26.01.2022 22:00 - 26.01.2022 23:00","36078","35836"
"26.01.2022 23:00 - 27.01.2022 00:00","32390","32294"
"27.01.2022 00:00 - 27.01.2022 01:00","29795","29159"
"27.01.2022 01:00 - 27.01.2022 02:00","27974","27465"
"27.01.2022 02:00 - 27.01.2022 03:00","27107","26588"
"27.01.2022 03:00 - 27.01.2022 04:00","26900","26343"
"27.01.2022 04:00 - 27.01.2022 05:00","26884","26740"
"27.01.2022 05:00 - 27.01.2022 06:00","28578","28908"
"27.01.2022 06:00 - 27.01.2022 07:00","34591","34625"
"27.01.2022 07:00 - 27.01.2022 08:00","41428","41177"
"27.01.2022 08:00 - 27.01.2022 09:00","45746","45870"
"27.01.2022 09:00 - 27.01.2022 10:00","47735","47284"
"27.01.2022 10:00 - 27.01.2022 11:00","47853","47050"
"27.01.2022 11:00 - 27.01.2022 12:00","47382","46261"
"27.01.2022 12:00 - 27.01.2022 13:00","45487","44059"
"27.01.2022 13:00 - 27.01.2022 14:00","44774","43015"
"27.01.2022 14:00 - 27.01.2022 15:00","45203","44074"
"27.01.2022 15:00 - 27.01.2022 16:00","45844","44491"
"27.01.2022 16:00 - 27.01.2022 17:00","45838","44989"
"27.01.2022 17:00 - 27.01.2022 18:00","46943","46434"
"27.01.2022 18:00 - 27.01.2022 19:00","47217","46647"
"27.01.2022 19:00 - 27.01.2022 20:00","46244","45790"
"27.01.2022 20:00 - 27.01.2022 21:00","43854","42873"
"27.01.2022 21:00 - 27.01.2022 22:00","40698","39520"
"27.01.2022 22:00 - 27.01.2022 23:00","36551","35467"
"27.01.2022 23:00 - 28.01.2022 00:00","32675","31950"
"28.01.2022 00:00 - 28.01.2022 01:00","29378","29109"
"28.01.2022 01:00 - 28.01.2022 02:00","27585","27169"
"28.01.2022 02:00 - 28.01.2022 03:00","26684","26347"
"28.01.2022 03:00 - 28.01.2022 04:00","26340","26303"
"28.01.2022 04:00 - 28.01.2022 05:00","26860","26624"
"28.01.2022 05:00 - 28.01.2022 06:00","28872","28578"
"28.01.2022 06:00 - 28.01.2022 07:00","34295","34444"
"28.01.2022 07:00 - 28.01.2022 08:00","40829","40654"
"28.01.2022 08:00 - 28.01.2022 09:00","45687","45164"
"28.01.2022 09:00 - 28.01.2022 10:00","47444","46432"
"28.01.2022 10:00 - 28.01.2022 11:00","47131","46163"
"28.01.2022 11:00 - 28.01.2022 12:00","46684","45067"
"28.01.2022 12:00 - 28.01.2022 13:00","44090","42615"
"28.01.2022 13:00 - 28.01.2022 14:00","42895","41692"
"28.01.2022 14:00 - 28.01.2022 15:00","43325","43084"
"28.01.2022 15:00 - 28.01.2022 16:00","43617","43271"
"28.01.2022 16:00 - 28.01.2022 17:00","43819","43364"
"28.01.2022 17:00 - 28.01.2022 18:00","45235","44701"
"28.01.2022 18:00 - 28.01.2022 19:00","46113","45546"
"28.01.2022 19:00 - 28.01.2022 20:00","45116","44682"
"28.01.2022 20:00 - 28.01.2022 21:00","42397","41828"
"28.01.2022 21:00 - 28.01.2022 22:00","39189","38510"
"28.01.2022 22:00 - 28.01.2022 23:00","35289","34732"
"28.01.2022 23:00 - 29.01.2022 00:00","31736","31519"
"29.01.2022 00:00 - 29.01.2022 01:00","28678","29232"
"29.01.2022 01:00 - 29.01.2022 02:00","26697","27318"
"29.01.2022 02:00 - 29.01.2022 03:00","25497","26216"
"29.01.2022 03:00 - 29.01.2022 04:00","25329","25780"
"29.01.2022 04:00 - 29.01.2022 05:00","25179","25721"
"29.01.2022 05:00 - 29.01.2022 06:00","25770","26489"
"29.01.2022 06:00 - 29.01.2022 07:00","28553","29571"
"29.01.2022 07:00 - 29.01.2022 08:00","32087","33111"
"29.01.2022 08:00 - 29.01.2022 09:00","34980","36226"
"29.01.2022 09:00 - 29.01.2022 10:00","36801","37788"
"29.01.2022 10:00 - 29.01.2022 11:00","36336","37078"
"29.01.2022 11:00 - 29.01.2022 12:00","35358","35202"
"29.01.2022 12:00 - 29.01.2022 13:00","34223","33665"
"29.01.2022 13:00 - 29.01.2022 14:00","31905","32569"
"29.01.2022 14:00 - 29.01.2022 15:00","31206","32328"
"29.01.2022 15:00 - 29.01.2022 16:00","31427","32187"
"29.01.2022 16:00 - 29.01.2022 17:00","32031","32693"
"29.01.2022 17:00 - 29.01.2022 18:00","34826","35437"
"29.01.2022 18:00 - 29.01.2022 19:00","37711","38126"
"29.01.2022 19:00 - 29.01.2022 20:00","38016","38494"
"29.01.2022 20:00 - 29.01.2022 21:00","36219","36050"
"29.01.2022 21:00 - 29.01.2022 22:00","33380","33356"
"29.01.2022 22:00 - 29.01.2022 23:00","30674","30639"
"29.01.2022 23:00 - 30.01.2022 00:00","28019","28184"
"30.01.2022 00:00 - 30.01.2022 01:00","25863","25972"
"30.01.2022 01:00 - 30.01.2022 02:00","24248","23933"
"30.01.2022 02:00 - 30.01.2022 03:00","22978","22871"
"30.01.2022 03:00 - 30.01.2022 04:00","22442","22411"
"30.01.2022 04:00 - 30.01.2022 05:00","22560","22318"
"30.01.2022 05:00 - 30.01.2022 06:00","23120","22815"
"30.01.2022 06:00 - 30.01.2022 07:00","24548","24419"
"30.01.2022 07:00 - 30.01.2022 08:00","25804","25659"
"30.01.2022 08:00 - 30.01.2022 09:00","27610","27524"
"30.01.2022 09:00 - 30.01.2022 10:00","29832","29488"
"30.01.2022 10:00 - 30.01.2022 11:00","30740","29890"
"30.01.2022 11:00 - 30.01.2022 12:00","30816","29807"
"30.01.2022 12:00 - 30.01.2022 13:00","30988","29630"
"30.01.2022 13:00 - 30.01.2022 14:00","29034","28027"
"30.01.2022 14:00 - 30.01.2022 15:00","28171","27675"
"30.01.2022 15:00 - 30.01.2022 16:00","28673","28112"
"30.01.2022 16:00 - 30.01.2022 17:00","29454","28565"
"30.01.2022 17:00 - 30.01.2022 18:00","31959","31210"
"30.01.2022 18:00 - 30.01.2022 19:00","35016","34093"
"30.01.2022 19:00 - 30.01.2022 20:00","35723","35016"
"30.01.2022 20:00 - 30.01.2022 21:00","35284","33937"
"30.01.2022 21:00 - 30.01.2022 22:00","33485","31832"
"30.01.2022 22:00 - 30.01.2022 23:00","31245","29322"
"30.01.2022 23:00 - 31.01.2022 00:00","28330","26536"
"31.01.2022 00:00 - 31.01.2022 01:00","24650","24290"
"31.01.2022 01:00 - 31.01.2022 02:00","23135","22912"
"31.01.2022 02:00 - 31.01.2022 03:00","22544","22231"
"31.01.2022 03:00 - 31.01.2022 04:00","22322","22105"
"31.01.2022 04:00 - 31.01.2022 05:00","22946","22819"
"31.01.2022 05:00 - 31.01.2022 06:00","25533","25254"
"31.01.2022 06:00 - 31.01.2022 07:00","31895","31716"
"31.01.2022 07:00 - 31.01.2022 08:00","38747","38281"
"31.01.2022 08:00 - 31.01.2022 09:00","44496","43102"
"31.01.2022 09:00 - 31.01.2022 10:00","46559","44954"
"31.01.2022 10:00 - 31.01.2022 11:00","46115","44461"
"31.01.2022 11:00 - 31.01.2022 12:00","45230","44274"
"31.01.2022 12:00 - 31.01.2022 13:00","42608","42180"
"31.01.2022 13:00 - 31.01.2022 14:00","42738","42137"
"31.01.2022 14:00 - 31.01.2022 15:00","43713","43155"
"31.01.2022 15:00 - 31.01.2022 16:00","44547","43253"
"31.01.2022 16:00 - 31.01.2022 17:00","44681","43638"
"31.01.2022 17:00 - 31.01.2022 18:00","45514","44704"
"31.01.2022 18:00 - 31.01.2022 19:00","45591","44946"
"31.01.2022 19:00 - 31.01.2022 20:00","44820","44117"
"31.01.2022 20:00 - 31.01.2022 21:00","42152","41513"
"31.01.2022 21:00 - 31.01.2022 22:00","39092","38561"
"31.01.2022 22:00 - 31.01.2022 23:00","34895","34555"
"31.01.2022 23:00 - 01.02.2022 00:00","31428","31169"
"01.02.2022 00:00 - 01.02.2022 01:00","28625","28567"
"01.02.2022 01:00 - 01.02.2022 02:00","27174","26944"
"01.02.2022 02:00 - 01.02.2022 03:00","26156","26085"
"01.02.2022 03:00 - 01.02.2022 04:00","25839","25836"
"01.02.2022 04:00 - 01.02.2022 05:00","26169","26313"
"01.02.2022 05:00 - 01.02.2022 06:00","27933","28277"
"01.02.2022 06:00 - 01.02.2022 07:00","33006","33920"
"01.02.2022 07:00 - 01.02.2022 08:00","39422","39760"
"01.02.2022 08:00 - 01.02.2022 09:00","43906","44400"
"01.02.2022 09:00 - 01.02.2022 10:00","46280","46503"
"01.02.2022 10:00 - 01.02.2022 11:00","46496","45636"
"01.02.2022 11:00 - 01.02.2022 12:00","45310","44976"
"01.02.2022 12:00 - 01.02.2022 13:00","42128","42578"
"01.02.2022 13:00 - 01.02.2022 14:00","41963","42172"
"01.02.2022 14:00 - 01.02.2022 15:00","42691","42714"
"01.02.2022 15:00 - 01.02.2022 16:00","43279","43174"
"01.02.2022 16:00 - 01.02.2022 17:00","43401","43184"
"01.02.2022 17:00 - 01.02.2022 18:00","45228","44169"
"01.02.2022 18:00 - 01.02.2022 19:00","45511","45205"
"01.02.2022 19:00 - 01.02.2022 20:00","44773","44321"
"01.02.2022 20:00 - 01.02.2022 21:00","42117","41898"
"01.02.2022 21:00 - 01.02.2022 22:00","39126","38191"
"01.02.2022 22:00 - 01.02.2022 23:00","34999","34342"
"01.02.2022 23:00 - 02.02.2022 00:00","31510","31333"
"02.02.2022 00:00 - 02.02.2022 01:00","28668","28524"
"02.02.2022 01:00 - 02.02.2022 02:00","27033","26975"
"02.02.2022 02:00 - 02.02.2022 03:00","26175","26187"
"02.02.2022 03:00 - 02.02.2022 04:00","25962","25954"
"02.02.2022 04:00 - 02.02.2022 05:00","26410","26414"
"02.02.2022 05:00 - 02.02.2022 06:00","28252","28491"
"02.02.2022 06:00 - 02.02.2022 07:00","34033","34341"
"02.02.2022 07:00 - 02.02.2022 08:00","39806","40173"
"02.02.2022 08:00 - 02.02.2022 09:00","44425","44483"
"02.02.2022 09:00 - 02.02.2022 10:00","46300","45755"
"02.02.2022 10:00 - 02.02.2022 11:00","45374","44960"
"02.02.2022 11:00 - 02.02.2022 12:00","45191","44011"
"02.02.2022 12:00 - 02.02.2022 13:00","43144","41728"
"02.02.2022 13:00 - 02.02.2022 14:00","41151","41051"
"02.02.2022 14:00 - 02.02.2022 15:00","42012","41980"
"02.02.2022 15:00 - 02.02.2022 16:00","43288","42280"
"02.02.2022 16:00 - 02.02.2022 17:00","43703","42371"
"02.02.2022 17:00 - 02.02.2022 18:00","44811","43480"
"02.02.2022 18:00 - 02.02.2022 19:00","45016","44718"
"02.02.2022 19:00 - 02.02.2022 20:00","44425","43905"
"02.02.2022 20:00 - 02.02.2022 21:00","41784","41537"
"02.02.2022 21:00 - 02.02.2022 22:00","38698","38467"
"02.02.2022 22:00 - 02.02.2022 23:00","34821","34548"
"02.02.2022 23:00 - 03.02.2022 00:00","31529","31316"
"03.02.2022 00:00 - 03.02.2022 01:00","28603","28642"
"03.02.2022 01:00 - 03.02.2022 02:00","27067","26958"
"03.02.2022 02:00 - 03.02.2022 03:00","26213","26191"
"03.02.2022 03:00 - 03.02.2022 04:00","26006","26139"
"03.02.2022 04:00 - 03.02.2022 05:00","26568","26432"
"03.02.2022 05:00 - 03.02.2022 06:00","28662","28267"
"03.02.2022 06:00 - 03.02.2022 07:00","34441","33506"
"03.02.2022 07:00 - 03.02.2022 08:00","40203","39500"
"03.02.2022 08:00 - 03.02.2022 09:00","44534","43670"
"03.02.2022 09:00 - 03.02.2022 10:00","45755","45184"
"03.02.2022 10:00 - 03.02.2022 11:00","45194","44562"
"03.02.2022 11:00 - 03.02.2022 12:00","44769","43203"
"03.02.2022 12:00 - 03.02.2022 13:00","42701","40509"
"03.02.2022 13:00 - 03.02.2022 14:00","42046","40156"
"03.02.2022 14:00 - 03.02.2022 15:00","42712","41276"
"03.02.2022 15:00 - 03.02.2022 16:00","43487","41822"
"03.02.2022 16:00 - 03.02.2022 17:00","43558","42010"
"03.02.2022 17:00 - 03.02.2022 18:00","44214","43573"
"03.02.2022 18:00 - 03.02.2022 19:00","45213","44952"
"03.02.2022 19:00 - 03.02.2022 20:00","44299","44323"
"03.02.2022 20:00 - 03.02.2022 21:00","42002","41833"
"03.02.2022 21:00 - 03.02.2022 22:00","38214","38623"
"03.02.2022 22:00 - 03.02.2022 23:00","34375","34778"
"03.02.2022 23:00 - 04.02.2022 00:00","31336","31346"
"04.02.2022 00:00 - 04.02.2022 01:00","28951","28582"
"04.02.2022 01:00 - 04.02.2022 02:00","27063","27102"
"04.02.2022 02:00 - 04.02.2022 03:00","26090","26185"
"04.02.2022 03:00 - 04.02.2022 04:00","26082","25727"
"04.02.2022 04:00 - 04.02.2022 05:00","26448","26237"
"04.02.2022 05:00 - 04.02.2022 06:00","28268","28343"
"04.02.2022 06:00 - 04.02.2022 07:00","33068","33900"
"04.02.2022 07:00 - 04.02.2022 08:00","39170","39654"
"04.02.2022 08:00 - 04.02.2022 09:00","43426","43911"
"04.02.2022 09:00 - 04.02.2022 10:00","45744","44933"
"04.02.2022 10:00 - 04.02.2022 11:00","45126","44419"
"04.02.2022 11:00 - 04.02.2022 12:00","43895","43873"
"04.02.2022 12:00 - 04.02.2022 13:00","41237","41187"
"04.02.2022 13:00 - 04.02.2022 14:00","40490","40737"
"04.02.2022 14:00 - 04.02.2022 15:00","41350","41546"
"04.02.2022 15:00 - 04.02.2022 16:00","41663","41991"
